metroarea,carcount,modetowork,travelburden,transitgood,tripcount,tripmile,distancetowork,transituse,hhincome,hhsize,childage,houseown,urbansize,popdensity,gasprice,age,gender,education,workschoolretire,hhstate,Walk.Index_Den,Walk.Index_Pop,Transit.Score,poverty_pop,disability_pop,bachelor_pop,employ_workforce
38060,1,3,1,3,3,10.416,4.97,0,3,2,0,1,4,7000,259.6,61,2,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,3,2,0,0,5.51,0,3,3,15,1,4,7000,,41,2,2,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,1,4,10.973,5.47,5,3,1,0,2,4,3000,291.7,64,2,5,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,2,3,2,2,3,4.35,1.17,0,1,3,0,2,4,1500,292.1,56,2,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,3,3,9,53.558,13.51,0,3,2,0,1,4,7000,272,70,1,3,4,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,3,2,7,62.689,32.54,0,3,2,0,1,4,1500,292.1,61,2,5,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,2,3,1,2,7,21.53,3.29,0,1,4,15,1,4,3000,262.3,63,2,5,4,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,1,3,3,9,53.558,0.32,0,3,2,0,1,4,7000,272,55,2,3,4,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,2,4,29.794,15.07,0,1,4,15,1,4,3000,273.4,50,2,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,0,4,1,2,3,20.713,9.07,30,2,1,0,1,4,3000,292,66,2,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,2,3,2,2,2,6.958,3.39,0,3,1,0,2,4,7000,290.3,35,2,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,1,4,77.827,27.21,0,3,1,0,1,4,750,291.8,42,2,5,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,3,4,305.783,21.41,0,1,2,0,2,4,7000,266,32,1,1,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,1,5,96.026,20.4,6,1,2,0,1,4,7000,278.7,53,2,2,4,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,3,2,2,27.849,13.96,0,1,5,5,1,4,300,274.5,23,1,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,2,5,60.249,17.63,0,2,1,0,2,4,300,274.6,23,2,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,3,2,59.275,29.84,0,2,1,0,2,4,3000,271.2,56,1,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,3,2,3,38.327,18.09,3,3,1,0,1,4,7000,271.2,61,1,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,2,2,2,1.414,20.78,0,4,1,0,1,4,1500,278.5,62,2,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,0,3,2,2,2,5.719,2.86,0,1,3,0,1,1,1500,271,19,2,2,4,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,2,4,3.979,0.03,0,1,4,15,1,4,3000,273.4,53,1,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,3,4,305.783,2.52,0,1,2,0,2,4,7000,266,32,2,5,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,2,2,2,39.081,19.39,0,4,4,5,1,4,7000,274.8,38,2,4,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,3,2,32.272,16.23,0,3,4,5,2,4,1500,267.7,35,2,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,3,2,7,32.517,14.32,0,3,3,21,1,4,7000,266,50,2,4,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,2,3,1,2,9,103.728,12.24,0,3,1,0,1,4,3000,265.9,32,1,4,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
